,word,frequency,,,gpt,,word model,,,Word,Real Reviews,GPT,Word Model,Char Model
174,sure,5,,,,,,,,,,,,
175,disappointed,5,,,,,,,,,,,,
176,fast,5,,,,,,,,,,,,
177,coming,5,,,,,,,,,,,,
178,atmosphere,5,,,,,,,,,,,,
179,walked,5,,,,,,,,,,,,
180,2,5,,,,,,,,,,,,
181,times,5,,,,,,,,,,,,
182,spices,5,,,,,,,,,,,,
183,onion,5,,,,,,,,,,,,
184,wonderful,5,,,,,,,,,,,,
185,absolutely,5,,,,,,,,,,,,
186,chicago,5,,,,,,,,,,,,
187,bread,5,,,,,,,,,,,,
188,things,5,,,,,,,,,,,,
189,wasnt,5,,,,,,,,,,,,
190,sauce,5,,,,,,,,,,,,
191,highly,5,,,,,,,,,,,,
192,room,5,,,,,,,,,,,,
193,seasons,5,,,,,,,,,,,,
194,taco,5,,,,,,,,,,,,
195,amount,4,,,,,,,,,,,,
196,work,4,,,,,,,,,,,,
197,keep,4,,,,,,,,,,,,
198,business,4,,,,,,,,,,,,
199,pie,4,,,,,,,,,,,,
200,salt,4,,,,,,,,,,,,
201,flavor,4,,,,,,,,,,,,
202,seating,4,,,,,,,,,,,,
203,clean,4,,,,,,,,,,,,
204,size,4,,,,,,,,,,,,
205,grab,4,,,,,,,,,,,,
206,croissant,4,,,,,,,,,,,,
207,owner,4,,,,,,,,,,,,
208,often,4,,,,,,,,,,,,
209,see,4,,,,,,,,,,,,
210,high,4,,,,,,,,,,,,
211,special,4,,,,,,,,,,,,
212,served,4,,,,,,,,,,,,
213,trip,4,,,,,,,,,,,,
214,ate,4,,,,,,,,,,,,
215,ago,4,,,,,,,,,,,,
216,dining,4,,,,,,,,,,,,
217,live,4,,,,,,,,,,,,
218,anyone,4,,,,,,,,,,,,
219,seen,4,,,,,,,,,,,,
220,cool,4,,,,,,,,,,,,
221,town,4,,,,,,,,,,,,
222,incredible,4,,,,,,,,,,,,
223,walk,4,,,,,,,,,,,,
224,dog,4,,,,,,,,,,,,
225,heard,4,,,,,,,,,,,,
226,bacon,4,,,,,,,,,,,,
227,lobster,4,,,,,,,,,,,,
228,authentic,4,,,,,,,,,,,,
229,friend,4,,,,,,,,,,,,
230,selection,4,,,,,,,,,,,,
231,believe,4,,,,,,,,,,,,
232,near,4,,,,,,,,,,,,
233,bakery,4,,,,,,,,,,,,
234,hard,4,,,,,,,,,,,,
235,job,4,,,,,,,,,,,,
236,looking,4,,,,,,,,,,,,
237,needs,4,,,,,,,,,,,,
238,half,4,,,,,,,,,,,,
239,fresher,4,,,,,,,,,,,,
240,especially,4,,,,,,,,,,,,
241,sandwiches,4,,,,,,,,,,,,
242,weekend,4,,,,,,,,,,,,
243,cheese,4,,,,,,,,,,,,
244,loved,4,,,,,,,,,,,,
245,havent,4,,,,,,,,,,,,
246,wawa,4,,,,,,,,,,,,
247,five,4,,,,,,,,,,,,
248,table,4,,,,,,,,,,,,
249,still,4,,,,,,,,,,,,
250,husband,4,,,,,,,,,,,,
251,blend,4,,,,,,,,,,,,
252,found,4,,,,,,,,,,,,
253,locally,4,,,,,,,,,,,,
254,pier,4,,,,,,,,,,,,
255,uses,4,,,,,,,,,,,,
256,tasty,4,,,,,,,,,,,,
257,flavors,4,,,,,,,,,,,,
258,boba,4,,,,,,,,,,,,
259,nothing,4,,,,,,,,,,,,
260,group,4,,,,,,,,,,,,
261,reno,4,,,,,,,,,,,,
262,cookies,4,,,,,,,,,,,,
263,absolute,3,,,,,,,,,,,,
264,city,3,,,,,,,,,,,,
265,black,3,,,,,,,,,,,,
266,level,3,,,,,,,,,,,,
267,ill,3,,,,,,,,,,,,
268,treat,3,,,,,,,,,,,,
269,part,3,,,,,,,,,,,,
270,chunks,3,,,,,,,,,,,,
271,outdoor,3,,,,,,,,,,,,
272,street,3,,,,,,,,,,,,
273,helps,3,,,,,,,,,,,,
274,bagel,3,,,,,,,,,,,,
275,addition,3,,,,,,,,,,,,
276,bite,3,,,,,,,,,,,,
277,door,3,,,,,,,,,,,,
278,santa,3,,,,,,,,,,,,
279,barbara,3,,,,,,,,,,,,
280,wine,3,,,,,,,,,,,,
281,fact,3,,,,,,,,,,,,
282,savory,3,,,,,,,,,,,,
283,beers,3,,,,,,,,,,,,
284,playing,3,,,,,,,,,,,,
285,said,3,,,,,,,,,,,,
286,however,3,,,,,,,,,,,,
287,outside,3,,,,,,,,,,,,
288,peak,3,,,,,,,,,,,,
289,20,3,,,,,,,,,,,,
290,rush,3,,,,,,,,,,,,
291,3,3,,,,,,,,,,,,
292,start,3,,,,,,,,,,,,
293,forward,3,,,,,,,,,,,,
294,dishes,3,,,,,,,,,,,,
295,thick,3,,,,,,,,,,,,
296,sign,3,,,,,,,,,,,,
297,felt,3,,,,,,,,,,,,
298,overall,3,,,,,,,,,,,,
299,ordering,3,,,,,,,,,,,,
300,weeks,3,,,,,,,,,,,,
301,st,3,,,,,,,,,,,,
302,hour,3,,,,,,,,,,,,
303,kind,3,,,,,,,,,,,,
304,though,3,,,,,,,,,,,,
305,makes,3,,,,,,,,,,,,
306,beyond,3,,,,,,,,,,,,
307,regular,3,,,,,,,,,,,,
308,quick,3,,,,,,,,,,,,
309,saturday,3,,,,,,,,,,,,
310,seems,3,,,,,,,,,,,,
311,recommended,3,,,,,,,,,,,,
312,lucky,3,,,,,,,,,,,,
313,south,3,,,,,,,,,,,,
314,something,3,,,,,,,,,,,,
315,online,3,,,,,,,,,,,,
316,family,3,,,,,,,,,,,,
317,favorites,3,,,,,,,,,,,,
318,purchase,3,,,,,,,,,,,,
319,whole,3,,,,,,,,,,,,
320,entire,3,,,,,,,,,,,,
321,man,3,,,,,,,,,,,,
322,baked,3,,,,,,,,,,,,
323,goods,3,,,,,,,,,,,,
324,reasons,3,,,,,,,,,,,,
325,young,3,,,,,,,,,,,,
326,else,3,,,,,,,,,,,,
327,leave,3,,,,,,,,,,,,
328,style,3,,,,,,,,,,,,
329,let,3,,,,,,,,,,,,
330,morning,3,,,,,,,,,,,,
331,serves,3,,,,,,,,,,,,
332,pastries,3,,,,,,,,,,,,
333,kids,3,,,,,,,,,,,,
334,cuban,3,,,,,,,,,,,,
335,smell,3,,,,,,,,,,,,
336,second,3,,,,,,,,,,,,
337,knowledgeable,3,,,,,,,,,,,,
338,available,3,,,,,,,,,,,,
339,items,3,,,,,,,,,,,,
340,example,3,,,,,,,,,,,,
341,vanilla,3,,,,,,,,,,,,
342,sugar,3,,,,,,,,,,,,
343,guide,3,,,,,,,,,,,,
344,tampa,3,,,,,,,,,,,,
345,informative,3,,,,,,,,,,,,
346,drive,3,,,,,,,,,,,,
347,oh,3,,,,,,,,,,,,
348,offers,3,,,,,,,,,,,,
349,wish,3,,,,,,,,,,,,
350,grits,3,,,,,,,,,,,,
351,counter,3,,,,,,,,,,,,
352,name,3,,,,,,,,,,,,
353,enjoyed,3,,,,,,,,,,,,
354,read,3,,,,,,,,,,,,
355,drink,3,,,,,,,,,,,,
356,drinks,3,,,,,,,,,,,,
357,stars,3,,,,,,,,,,,,
358,put,3,,,,,,,,,,,,
359,organic,3,,,,,,,,,,,,
360,choices,3,,,,,,,,,,,,
361,beef,3,,,,,,,,,,,,
362,done,3,,,,,,,,,,,,
363,eating,3,,,,,,,,,,,,
364,dream,3,,,,,,,,,,,,
365,asked,3,,,,,,,,,,,,
366,dessert,3,,,,,,,,,,,,
367,needed,3,,,,,,,,,,,,
368,heaven,3,,,,,,,,,,,,
369,minute,3,,,,,,,,,,,,
370,left,3,,,,,,,,,,,,
371,care,3,,,,,,,,,,,,
372,expect,3,,,,,,,,,,,,
373,later,3,,,,,,,,,,,,
374,bottle,3,,,,,,,,,,,,
375,view,3,,,,,,,,,,,,
376,thing,3,,,,,,,,,,,,
377,late,3,,,,,,,,,,,,
378,sat,3,,,,,,,,,,,,
379,options,3,,,,,,,,,,,,
380,rings,3,,,,,,,,,,,,
381,greasy,3,,,,,,,,,,,,
382,brought,3,,,,,,,,,,,,
383,extra,3,,,,,,,,,,,,
384,waiting,3,,,,,,,,,,,,
385,passion,3,,,,,,,,,,,,
386,juice,3,,,,,,,,,,,,
387,close,3,,,,,,,,,,,,
388,kitchen,3,,,,,,,,,,,,
389,crispy,3,,,,,,,,,,,,
390,told,3,,,,,,,,,,,,
391,ingredients,3,,,,,,,,,,,,
392,review,3,,,,,,,,,,,,
393,cupcake,3,,,,,,,,,,,,
394,mouth,3,,,,,,,,,,,,
395,shaved,3,,,,,,,,,,,,
396,efficient,3,,,,,,,,,,,,
397,home,3,,,,,,,,,,,,
398,cute,3,,,,,,,,,,,,
399,taiwanese,3,,,,,,,,,,,,
400,glad,3,,,,,,,,,,,,
401,leigh,3,,,,,,,,,,,,
402,anne,3,,,,,,,,,,,,
403,wedding,3,,,,,,,,,,,,
404,head,3,,,,,,,,,,,,
405,daughter,3,,,,,,,,,,,,
406,italian,3,,,,,,,,,,,,
407,note,3,,,,,,,,,,,,
408,devils,3,,,,,,,,,,,,
409,delight,3,,,,,,,,,,,,
410,truffle,3,,,,,,,,,,,,
411,self,3,,,,,,,,,,,,
412,mushroom,3,,,,,,,,,,,,
413,healthy,3,,,,,,,,,,,,
414,fish,3,,,,,,,,,,,,
415,fancy,3,,,,,,,,,,,,
416,dark,3,,,,,,,,,,,,
417,white,2,,,,,,,,,,,,
418,latte,2,,,,,,,,,,,,
419,patrons,2,,,,,,,,,,,,
420,bring,2,,,,,,,,,,,,
421,holy,2,,,,,,,,,,,,
422,pumpkin,2,,,,,,,,,,,,
423,mixed,2,,,,,,,,,,,,
424,crust,2,,,,,,,,,,,,
425,finding,2,,,,,,,,,,,,
426,diamond,2,,,,,,,,,,,,
427,inside,2,,,,,,,,,,,,
428,custom,2,,,,,,,,,,,,
429,tastings,2,,,,,,,,,,,,
430,life,2,,,,,,,,,,,,
431,shellfish,2,,,,,,,,,,,,
432,company,2,,,,,,,,,,,,
433,fare,2,,,,,,,,,,,,
434,ahead,2,,,,,,,,,,,,
435,plan,2,,,,,,,,,,,,
436,25,2,,,,,,,,,,,,
437,wife,2,,,,,,,,,,,,
438,portions,2,,,,,,,,,,,,
439,liked,2,,,,,,,,,,,,
440,chowder,2,,,,,,,,,,,,
441,shrimp,2,,,,,,,,,,,,
442,bisque,2,,,,,,,,,,,,
443,tasted,2,,,,,,,,,,,,
444,juicy,2,,,,,,,,,,,,
445,separate,2,,,,,,,,,,,,
446,perfection,2,,,,,,,,,,,,
447,least,2,,,,,,,,,,,,
448,king,2,,,,,,,,,,,,
449,otherwise,2,,,,,,,,,,,,
450,satisfied,2,,,,,,,,,,,,
451,indeed,2,,,,,,,,,,,,
452,freshly,2,,,,,,,,,,,,
453,filling,2,,,,,,,,,,,,
454,phenomenal,2,,,,,,,,,,,,
455,stl,2,,,,,,,,,,,,
456,10,2,,,,,,,,,,,,
457,ashamed,2,,,,,,,,,,,,
458,remorseful,2,,,,,,,,,,,,
459,louis,2,,,,,,,,,,,,
460,event,2,,,,,,,,,,,,
461,youll,2,,,,,,,,,,,,
462,course,2,,,,,,,,,,,,
463,personal,2,,,,,,,,,,,,
464,drinker,2,,,,,,,,,,,,
465,server,2,,,,,,,,,,,,
466,date,2,,,,,,,,,,,,
467,bison,2,,,,,,,,,,,,
468,tend,2,,,,,,,,,,,,
469,funky,2,,,,,,,,,,,,
470,pleasure,2,,,,,,,,,,,,
471,today,2,,,,,,,,,,,,
472,extremely,2,,,,,,,,,,,,
473,helpful,2,,,,,,,,,,,,
474,1st,2,,,,,,,,,,,,
475,exceptional,2,,,,,,,,,,,,
476,waterline,2,,,,,,,,,,,,
477,miss,2,,,,,,,,,,,,
478,waitress,2,,,,,,,,,,,,
479,pancake,2,,,,,,,,,,,,
480,sour,2,,,,,,,,,,,,
481,stop,2,,,,,,,,,,,,
482,took,2,,,,,,,,,,,,
483,started,2,,,,,,,,,,,,
484,type,2,,,,,,,,,,,,
485,yes,2,,,,,,,,,,,,
486,muffin,2,,,,,,,,,,,,
487,specialty,2,,,,,,,,,,,,
488,cakes,2,,,,,,,,,,,,
489,running,2,,,,,,,,,,,,
490,beat,2,,,,,,,,,,,,
491,comes,2,,,,,,,,,,,,
492,saki,2,,,,,,,,,,,,
493,rice,2,,,,,,,,,,,,
494,someone,2,,,,,,,,,,,,
495,star,2,,,,,,,,,,,,
496,isgros,2,,,,,,,,,,,,
497,potitos,2,,,,,,,,,,,,
498,wouldnt,2,,,,,,,,,,,,
499,rest,2,,,,,,,,,,,,
500,days,2,,,,,,,,,,,,
501,picked,2,,,,,,,,,,,,
502,week,2,,,,,,,,,,,,
503,stomach,2,,,,,,,,,,,,
504,n,2,,,,,,,,,,,,
505,4,2,,,,,,,,,,,,
506,donut,2,,,,,,,,,,,,
507,shopping,2,,,,,,,,,,,,
508,imagine,2,,,,,,,,,,,,
509,buy,2,,,,,,,,,,,,
510,school,2,,,,,,,,,,,,
511,weve,2,,,,,,,,,,,,
512,doesnt,2,,,,,,,,,,,,
513,types,2,,,,,,,,,,,,
514,slider,2,,,,,,,,,,,,
515,whenever,2,,,,,,,,,,,,
516,inviting,2,,,,,,,,,,,,
517,happy,2,,,,,,,,,,,,
518,spice,2,,,,,,,,,,,,
519,cooking,2,,,,,,,,,,,,
520,including,2,,,,,,,,,,,,
521,stuff,2,,,,,,,,,,,,
522,celery,2,,,,,,,,,,,,
523,seem,2,,,,,,,,,,,,
524,dollar,2,,,,,,,,,,,,
525,comfortable,2,,,,,,,,,,,,
526,chairs,2,,,,,,,,,,,,
527,sit,2,,,,,,,,,,,,
528,walking,2,,,,,,,,,,,,
529,ybor,2,,,,,,,,,,,,
530,lol,2,,,,,,,,,,,,
531,early,2,,,,,,,,,,,,
532,general,2,,,,,,,,,,,,
533,stopped,2,,,,,,,,,,,,
534,soup,2,,,,,,,,,,,,
535,lived,2,,,,,,,,,,,,
536,thru,2,,,,,,,,,,,,
537,watch,2,,,,,,,,,,,,
538,restaurants,2,,,,,,,,,,,,
539,guys,2,,,,,,,,,,,,
540,willing,2,,,,,,,,,,,,
541,crepes,2,,,,,,,,,,,,
542,greeted,2,,,,,,,,,,,,
543,adorable,2,,,,,,,,,,,,
544,woman,2,,,,,,,,,,,,
545,visits,2,,,,,,,,,,,,
546,recent,2,,,,,,,,,,,,
547,vegetarian,2,,,,,,,,,,,,
548,sausage,2,,,,,,,,,,,,
549,veggie,2,,,,,,,,,,,,
550,priced,2,,,,,,,,,,,,
551,case,2,,,,,,,,,,,,
552,attentive,2,,,,,,,,,,,,
553,peppers,2,,,,,,,,,,,,
554,moved,2,,,,,,,,,,,,
555,philadelphia,2,,,,,,,,,,,,
556,four,2,,,,,,,,,,,,
557,tahini,2,,,,,,,,,,,,
558,arrived,2,,,,,,,,,,,,
559,thought,2,,,,,,,,,,,,
560,must,2,,,,,,,,,,,,
561,superb,2,,,,,,,,,,,,
562,onions,2,,,,,,,,,,,,
563,middle,2,,,,,,,,,,,,
564,garden,2,,,,,,,,,,,,
565,peas,2,,,,,,,,,,,,
566,green,2,,,,,,,,,,,,
567,wont,2,,,,,,,,,,,,
568,begin,2,,,,,,,,,,,,
569,describe,2,,,,,,,,,,,,
570,traditional,2,,,,,,,,,,,,
571,none,2,,,,,,,,,,,,
572,less,2,,,,,,,,,,,,
573,usually,2,,,,,,,,,,,,
574,desserts,2,,,,,,,,,,,,
575,pistachio,2,,,,,,,,,,,,
576,light,2,,,,,,,,,,,,
577,reservation,2,,,,,,,,,,,,
578,15,2,,,,,,,,,,,,
579,napkin,2,,,,,,,,,,,,
580,incredibly,2,,,,,,,,,,,,
581,philly,2,,,,,,,,,,,,
582,skip,2,,,,,,,,,,,,
583,expensive,2,,,,,,,,,,,,
584,chef,2,,,,,,,,,,,,
585,pav,2,,,,,,,,,,,,
586,world,2,,,,,,,,,,,,
587,bell,2,,,,,,,,,,,,
588,meade,2,,,,,,,,,,,,
589,nashville,2,,,,,,,,,,,,
590,may,2,,,,,,,,,,,,
591,surprise,2,,,,,,,,,,,,
592,shelf,2,,,,,,,,,,,,
593,elmer,2,,,,,,,,,,,,
594,without,2,,,,,,,,,,,,
595,tastes,2,,,,,,,,,,,,
596,tasting,2,,,,,,,,,,,,
597,prepared,2,,,,,,,,,,,,
598,cherry,2,,,,,,,,,,,,
599,beautiful,2,,,,,,,,,,,,
600,wrong,2,,,,,,,,,,,,
601,couple,2,,,,,,,,,,,,
602,monday,2,,,,,,,,,,,,
603,sun,2,,,,,,,,,,,,
604,meaty,2,,,,,,,,,,,,
605,simple,2,,,,,,,,,,,,
606,cocktail,2,,,,,,,,,,,,
607,butter,2,,,,,,,,,,,,
608,yum,2,,,,,,,,,,,,
609,oysters,2,,,,,,,,,,,,
610,oyster,2,,,,,,,,,,,,
611,iced,2,,,,,,,,,,,,
612,6,2,,,,,,,,,,,,
613,end,2,,,,,,,,,,,,
614,eggs,2,,,,,,,,,,,,
615,tomato,2,,,,,,,,,,,,
616,toast,2,,,,,,,,,,,,
617,mexican,2,,,,,,,,,,,,
618,papaya,2,,,,,,,,,,,,
619,omg,2,,,,,,,,,,,,
620,play,2,,,,,,,,,,,,
621,nj,2,,,,,,,,,,,,
622,joint,2,,,,,,,,,,,,
623,cut,2,,,,,,,,,,,,
624,ask,2,,,,,,,,,,,,
625,finally,2,,,,,,,,,,,,
626,able,2,,,,,,,,,,,,
627,nazi,2,,,,,,,,,,,,
628,falafel,2,,,,,,,,,,,,
629,called,2,,,,,,,,,,,,
630,cart,2,,,,,,,,,,,,
631,tender,2,,,,,,,,,,,,
632,homemade,2,,,,,,,,,,,,
633,usual,2,,,,,,,,,,,,
634,shows,2,,,,,,,,,,,,
635,plenty,2,,,,,,,,,,,,
636,toppings,2,,,,,,,,,,,,
637,talk,2,,,,,,,,,,,,
638,tell,2,,,,,,,,,,,,
639,serve,2,,,,,,,,,,,,
640,goodies,2,,,,,,,,,,,,
641,anything,2,,,,,,,,,,,,
642,delicate,2,,,,,,,,,,,,
643,piece,2,,,,,,,,,,,,
644,goodness,2,,,,,,,,,,,,
645,signature,2,,,,,,,,,,,,
646,ones,2,,,,,,,,,,,,
647,concoctions,2,,,,,,,,,,,,
648,strip,2,,,,,,,,,,,,
649,mall,2,,,,,,,,,,,,
650,across,2,,,,,,,,,,,,
651,boyfriend,2,,,,,,,,,,,,
652,loves,2,,,,,,,,,,,,
653,quail,2,,,,,,,,,,,,
654,item,2,,,,,,,,,,,,
655,flavorful,2,,,,,,,,,,,,
656,seasoned,2,,,,,,,,,,,,
657,cheesy,2,,,,,,,,,,,,
658,sooo,2,,,,,,,,,,,,
659,typically,2,,,,,,,,,,,,
660,id,2,,,,,,,,,,,,
661,smaller,2,,,,,,,,,,,,
662,convenient,2,,,,,,,,,,,,
663,almost,2,,,,,,,,,,,,
664,closer,2,,,,,,,,,,,,
665,tomatoes,2,,,,,,,,,,,,
666,wallet,2,,,,,,,,,,,,
667,designs,2,,,,,,,,,,,,
668,months,2,,,,,,,,,,,,
669,supposed,2,,,,,,,,,,,,
670,exact,2,,,,,,,,,,,,
671,decorating,2,,,,,,,,,,,,
672,gyros,2,,,,,,,,,,,,
673,oprah,2,,,,,,,,,,,,
674,car,2,,,,,,,,,,,,
675,indianapolis,2,,,,,,,,,,,,
676,plus,2,,,,,,,,,,,,
677,saw,2,,,,,,,,,,,,
678,helped,2,,,,,,,,,,,,
679,banh,2,,,,,,,,,,,,
680,mi,2,,,,,,,,,,,,
681,milk,2,,,,,,,,,,,,
682,yuengling,2,,,,,,,,,,,,
683,knew,2,,,,,,,,,,,,
684,gift,2,,,,,,,,,,,,
685,history,2,,,,,,,,,,,,
686,hands,2,,,,,,,,,,,,
687,premium,2,,,,,,,,,,,,
688,lager,2,,,,,,,,,,,,
689,mile,2,,,,,,,,,,,,
690,sport,2,,,,,,,,,,,,
691,cashier,2,,,,,,,,,,,,
692,girl,2,,,,,,,,,,,,
693,explained,2,,,,,,,,,,,,
694,idea,2,,,,,,,,,,,,
695,opened,2,,,,,,,,,,,,
696,gas,2,,,,,,,,,,,,
697,cents,2,,,,,,,,,,,,
698,relatively,2,,,,,,,,,,,,
699,hectic,2,,,,,,,,,,,,
700,according,2,,,,,,,,,,,,
701,brew,2,,,,,,,,,,,,
702,55,2,,,,,,,,,,,,
703,tres,2,,,,,,,,,,,,
704,leche,2,,,,,,,,,,,,
705,florentine,2,,,,,,,,,,,,
706,coconut,2,,,,,,,,,,,,
707,cafe,1,,,,,,,,,,,,
708,foam,1,,,,,,,,,,,,
709,soups,1,,,,,,,,,,,,
710,nonsoup,1,,,,,,,,,,,,
711,space,1,,,,,,,,,,,,
712,noise,1,,,,,,,,,,,,
713,giving,1,,,,,,,,,,,,
714,smokes,1,,,,,,,,,,,,
715,actual,1,,,,,,,,,,,,
716,frozen,1,,,,,,,,,,,,
717,custardare,1,,,,,,,,,,,,
